L1,L2,L3,ID,Function,EC,Gene
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00235,Succinate dehydrogenase (ubiquinone) iron-sulfur subunit,1.3.5.1,"SDHB, SDH2"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00236,Succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,,"SDHC, SDH3"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00237,Succinate dehydrogenase (ubiquinone) membrane anchor subunit,,"SDHD, SDH4"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00239,"Succinate dehydrogenase / fumarate reductase, flavoprotein subunit",1.3.5.1 1.3.5.4,"sdhA, frdA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00240,"Succinate dehydrogenase / fumarate reductase, iron-sulfur subunit",1.3.5.1 1.3.5.4,"sdhB, frdB"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00241,"Succinate dehydrogenase / fumarate reductase, cytochrome b subunit",,"sdhC, frdC"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00242,"Succinate dehydrogenase / fumarate reductase, membrane anchor subunit",,"sdhD, frdD"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K18859,"Succinate dehydrogenase / fumarate reductase, subunit D",,"sdhD, frdD"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K18860,"Putative succinate dehydrogenase / fumarate reductase, subunit D",,"sdhD, frdD"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00244,Fumarate reductase flavoprotein subunit,1.3.5.4,frdA
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00245,Fumarate reductase iron-sulfur subunit,1.3.5.4,frdB
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00246,Fumarate reductase subunit C,,frdC
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00247,Fumarate reductase subunit D,,frdD
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01676,"Fumarate hydratase, class I",4.2.1.2,"E4.2.1.2A, fumA, fumB"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01677,Fumarate hydratase subunit alpha,4.2.1.2,"E4.2.1.2AA, fumA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01678,Fumarate hydratase subunit beta,4.2.1.2,"E4.2.1.2AB, fumB"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01679,"Fumarate hydratase, class II",4.2.1.2,"E4.2.1.2B, fumC, FH"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01675,Fumarate hydratase D,4.2.1.2,fumD
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01774,Fumarate hydratase E,4.2.1.2,fumE
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00025,Malate dehydrogenase,1.1.1.37,MDH1
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00026,Malate dehydrogenase,1.1.1.37,MDH2
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00024,Malate dehydrogenase,1.1.1.37,mdh
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00116,Malate dehydrogenase (quinone),1.1.5.4,mqo
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01958,Pyruvate carboxylase,6.4.1.1,"PC, pyc"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01959,Pyruvate carboxylase subunit A,6.4.1.1,pycA
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01960,Pyruvate carboxylase subunit B,6.4.1.1,pycB
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01610,Phosphoenolpyruvate carboxykinase (ATP),4.1.1.49,"E4.1.1.49, pckA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01596,Phosphoenolpyruvate carboxykinase (GTP),4.1.1.32,"E4.1.1.32, pckA, PCK"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00163,Pyruvate dehydrogenase E1 component,1.2.4.1,aceE
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00161,Pyruvate dehydrogenase E1 component alpha subunit,1.2.4.1,"PDHA, pdhA"
