"","gtdb_f","f_spor","ID","GTDB_tax"
"128","Acidaminococcaceae",FALSE,"Ma_2019_SRR413677_NODE_1493_length_20701_cov_1.878669","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"129","Acidaminococcaceae",FALSE,"Ma_2019_SRR413743_NODE_326_length_45332_cov_21.614484","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"130","Acidaminococcaceae",FALSE,"Norman_135_NODE_98_length_5193_cov_5912.184897","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"131","Acidaminococcaceae",FALSE,"uvig_286300","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"132","Acidaminococcaceae",FALSE,"Shkoporov_2019_SRR9161516_NODE_68_length_5101_cov_990.850971","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"133","Acidaminococcaceae",FALSE,"Ma_2019_SRR413584_NODE_5287_length_5094_cov_4.665410","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"134","Acidaminococcaceae",FALSE,"Ma_2019_SRR413651_NODE_758_length_29482_cov_5.038060","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"135","Acidaminococcaceae",FALSE,"Shkoporov_2019_SRR9161589_NODE_438_length_5103_cov_5.314382","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"136","Acidaminococcaceae",FALSE,"Norman_65_NODE_5_length_9607_cov_356.163212","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"137","Acidaminococcaceae",FALSE,"uvig_303577","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"138","Acidaminococcaceae",FALSE,"Ma_2019_SRR413653_NODE_2162_length_9206_cov_2.917168","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"139","Acidaminococcaceae",FALSE,"Zuo_2018_SRR5677824_NODE_713_length_5018_cov_7.370341","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"140","Acidaminococcaceae",FALSE,"uvig_463711","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"141","Acidaminococcaceae",FALSE,"Ma_2019_SRR413624_NODE_899_length_25116_cov_3.001556","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"142","Acidaminococcaceae",FALSE,"uvig_270767","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"143","Acidaminococcaceae",FALSE,"Ma_2019_SRR413752_NODE_537_length_43521_cov_3.386486","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"144","Acidaminococcaceae",FALSE,"Ma_2019_SRR413639_NODE_526_length_33577_cov_2.743810","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"145","Acutalibacteraceae",FALSE,"Nadia_combined_trimmed_NODE_2184_length_6317_cov_14.612584","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"146","Acutalibacteraceae",FALSE,"Ma_2019_SRR413622_NODE_524_length_42830_cov_99.924769","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"147","Acutalibacteraceae",FALSE,"Han_2018_ERR1398168_NODE_5250_length_5982_cov_3.125527","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"148","Acutalibacteraceae",FALSE,"Shkoporov_2019_SRR9162903_NODE_505_length_9950_cov_4.777767","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"149","Acutalibacteraceae",FALSE,"Kang_0019_ST001_A_NODE_40_length_39106_cov_356.734296","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"150","Acutalibacteraceae",FALSE,"Ma_2019_SRR341705_NODE_2664_length_7738_cov_5.262007","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"151","Acutalibacteraceae",FALSE,"Ma_2019_SRR413580_NODE_3892_length_5429_cov_3.813361","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"152","Acutalibacteraceae",FALSE,"Ma_2019_SRR413682_NODE_1135_length_16827_cov_1.657465","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
"153","Acutalibacteraceae",FALSE,"Shkoporov_2019_SRR9161601_NODE_514_length_23230_cov_8.185890","Bacteria;p__Firmicutes_A;f__Acutalibacteraceae"
